,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Question,Equation
0,0,0,0,0,0,0,0,0,0,Each pack of dvds costs i dollars. If there is a discount of j dollars on each pack How much do you have to pay to buy each pack?,( i - j )
1,1,1,1,1,1,1,1,1,1,Dan had $ i left with him after he bought a candy bar. If he had $ j at the start How much did the candy bar cost?,( j - i )
2,2,2,2,2,2,2,2,2,2,Paco had i salty cookies and j sweet cookies. He ate k sweet cookies and l salty cookies. How many salty cookies did Paco have left?,( i - l )
3,3,3,3,3,3,3,3,3,3,i children were riding on the bus. At the bus stop some children got off the bus. Then there were j children left on the bus. How many children got off the bus at the bus stop?,( i - j )
4,4,4,4,4,4,4,4,4,4,i children were riding on the bus. At the bus stop j children got on the bus while some got off the bus. Then there were k children altogether on the bus. How many more children got on the bus than those that got off?,( k - i )
5,5,5,5,5,5,5,5,5,5,There were i dollars in Olivia's wallet. She collected j more dollars from an atm. After she visited a supermarket there were j dollars left. How much more money did she collect at the atm than she spent at the supermarket?,( j - i )
6,6,6,6,6,6,6,6,6,6,Jerry had some action figures on a shelf in his room. Later he added i more action figures to the shelf. If there are a total of j action figures on his shelf now How many action figures did he have initially on the shelf?,( j - i )
7,7,7,7,7,7,7,7,7,7,Paco had i cookies. He gave j cookies to his friend and ate k cookies. How many more cookies did he eat than those he gave to his friend?,( k - j )
8,8,8,8,8,8,8,8,8,8,Mary is baking a cake. The recipe calls for i cups of sugar j cups of flour and k cups of salt. She already put in l cups of flour. How many more cups of flour does she need to add?,( j - l )
9,9,9,9,9,9,9,9,9,9,A waiter had some customers. After i customers left he still had j customers. How many customers did he have at the start?,( i + j )
10,10,10,10,10,10,10,10,10,10,i birds were sitting on the fence. j more storks and k more birds came to join them. How many more storks than birds are sitting on the fence?,( j - ( i + k ) )
11,11,11,11,11,11,11,11,11,11,They decided to hold the party in their backyard. If they have i sets of tables and each set has j chairs How many chairs do they have in the backyard?,( i * j )
12,12,12,12,12,12,12,12,12,12,In a school there are i more girls than boys. If there are j girls How many pupils are there in that school?,( ( j + j) - i )
13,13,13,13,13,13,13,13,13,13,After resting they decided to go for a swim. The depth of the water is i times Dean's height. Dean is j feet taller than Ron. If Ron stands at k feet How deep was the water?,( ( j + k ) * i )
14,14,14,14,14,14,14,14,14,14,i birds were sitting on the fence. j more birds and k more storks came to join them. How many birds are sitting on the fence?,( i + j )
15,15,15,15,15,15,15,15,15,15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed i pounds. On the way back Marco ' dad lost j pounds of strawberries. Marco's strawberries now weighed k pounds. How much did his dad's strawberries weigh now?,( ( i - k ) - j )
16,16,16,16,16,16,16,16,16,16,In a school there are i girls and the rest are boys. If there are j more girls than boys How many boys are there in that school?,( i - j )
17,17,17,17,17,17,17,17,17,17,In a school there are i girls and j boys. k more girls and l more boys joined the school. How many girls are there in the school now?,( i + k )
18,18,18,18,18,18,18,18,18,18,Danny collects bottle caps and wrappers. He found i bottle caps and j wrappers at the park. Now he has k bottle caps and l wrappers in his collection. How many wrappers did danny have at first?,( l - j )
19,19,19,19,19,19,19,19,19,19,Paul got a box of i erasers and j crayons for his birthday. At the end of the school year he only had k crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,( k - i )
20,20,20,20,20,20,20,20,20,20,Baker made i cakes. He sold j of them and bought k new cakes. How many cakes does baker still have?,( ( i - j ) + k )
21,21,21,21,21,21,21,21,21,21,An industrial machine worked for i minutes. It can make j shirts a minute. How many shirts did machine make?,( j * i )
22,22,22,22,22,22,22,22,22,22,The bananas in Philip's collection are organized into groups of size i. If there are a total of i bananas in Philip's banana collection How many groups are there?,( j / i )
23,23,23,23,23,23,23,23,23,23,There were some birds sitting on the fence. i more birds came to join them. If there are a total of j birds on the fence now How many birds had been sitting on the fence at the start?,( j - i )
24,24,24,24,24,24,24,24,24,24,Jerry had i action figures on a shelf in his room. Later he added j more action figures to the shelf and removed some of the old ones. If there are k action figures on his shelf now How many action figures did he remove from the shelf?,( ( i + j ) - k )
25,25,25,25,25,25,25,25,25,25,Danny collects bottle caps and wrappers. He found i wrappers and j bottle caps at the park. Now he has k bottle caps and l wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,( i - j )
26,26,26,26,26,26,26,26,26,26,Because of the decision Sofia asked the students to suggest specific types of food from a total of i choices. If j students suggested adding mashed potatoes k suggested adding bacon to the menu and the rest did not participate How many students participated in the suggestion of new food items?,( j + k )
27,27,27,27,27,27,27,27,27,27,Matthew gave equal numbers of crackers and cakes to his i friends. If he had j crackers and k cakes initially How many crackers and cakes did each person eat?,( ( j + k ) / i )
28,28,28,28,28,28,28,28,28,28,"A grocery store had i bottles of regular soda, j bottles of diet soda and k bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?",( j + i )
29,29,29,29,29,29,29,29,29,29,"Dan has $ i. He bought j candy bar for $ k, each one costing the same amount of money. How much did each candy bar cost?",( k / j )
30,30,30,30,30,30,30,30,30,30,Tiffany was collecting cans for recycling. On monday she had i bags of cans. The next day she found j more bags worth of cans. How many more bags did she find on the next day than she had on monday?,( j - i )
31,31,31,31,31,31,31,31,31,31,There were i roses and j orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now k roses and l orchids in the vase. How many roses did she cut?,( k - i )
32,32,32,32,32,32,32,32,32,32,There are some baskets of peaches. Each basket has i red peaches and j green peaches. If there are a total of k peaches in all baskets How many baskets of peaches are there?,( k / ( i + j ) )
33,33,33,33,33,33,33,33,33,33,There were i dollars in Olivia's wallet. She spent j dollars at a supermarket. How much money does she have left?,( i - j )
34,34,34,34,34,34,34,34,34,34,"Jack received i emails in the morning, j emails in the afternoon and some more in the evening. If he received a total of k emails in the day How many emails did Jack receive in the afternoon?",( k - ( i + j ) )
35,35,35,35,35,35,35,35,35,35,Dan has $ i. He bought a candy bar for $ j. Then his friend gave him $ k How much money is left?,( ( i - j ) + k )
36,36,36,36,36,36,36,36,36,36,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that i visitors came to the Buckingham palace on the previous day. If there were j visitors on that day How many visited the Buckingham palace within k days?",( j + i )
37,37,37,37,37,37,37,37,37,37,For Gwen's birthday she received i dollars from her dad. Her mom gave her j more dollars. If she spent k dollars. How much more money did she receive from her mom than she did from her dad?,( j - i )
38,38,38,38,38,38,38,38,38,38,There are i bananas and j oranges in Philip's collection. If the bananas are organized into k groups and oranges are organized into l groups How big is each group of oranges?,( j / l )
39,39,39,39,39,39,39,39,39,39,There are i different books and j different movies in the ' crazy silly school ' series. If you read k of the movies and watched l of the books How many more movies than books have you read?,( k - l )
40,40,40,40,40,40,40,40,40,40,Mary is baking a cake. The recipe calls for i cups of flour and j cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in?,( i - k )
41,41,41,41,41,41,41,41,41,41,Danny collects bottle caps and wrappers. He found i wrappers and j bottle caps at the park. Now he has k bottle caps and l wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,( j - i )
42,42,42,42,42,42,42,42,42,42,Luke played i rounds of a trivia game. If he gained j points in each round How many points did he score in the game?,( i * j )
43,43,43,43,43,43,43,43,43,43,i birds and j storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,( ( i + k ) - j )
44,44,44,44,44,44,44,44,44,44,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped i inches. The mouse jumped j inches lesser than the frog who jumped k inches farther than the grasshopper. How far did the mouse jump?",( ( i + k ) - j )
45,45,45,45,45,45,45,45,45,45,Zachary did i push-ups and j crunches in gym class today. David did k more push-ups but l less crunches than zachary. How many more push-ups than crunches did Zachary do?,( i - j )
46,46,46,46,46,46,46,46,46,46,"Jack received i emails in the morning, j emails in the afternoon and k emails in the evening. How many emails did Jack receive in the afternoon and evening?",( j + k )
47,47,47,47,47,47,47,47,47,47,Jerry had i action figures on a shelf in his room. Later he added some more action figures to the shelf and removed j of the old ones. If there are k action figures on his shelf now How many action figures did he add to the shelf?,( ( k + j ) - i )
48,48,48,48,48,48,48,48,48,48,Julia played tag with i kids on monday. She played tag with j kids on tuesday. She spent a total of k hours to play tag on both days. How many kids did she play with altogether?,( i + j )
49,49,49,49,49,49,49,49,49,49,Nell collects cards. She had i baseball cards and j Ace cards. She gave some of her cards to Jeff and now has k baseball cards and l Ace cards left. How many more baseball cards than Ace cards does Nell have?,( k - l )
50,50,50,50,50,50,50,50,50,50,"At the zoo, a cage had i snakes and j alligators. If k alligators were hiding How many alligators were not hiding?",( j - k )
51,51,51,51,51,51,51,51,51,51,You have read i books from the ' crazy silly school ' series. If there are a total of j different books in the ' crazy silly school ' series How many more do you still have to read?,( j - i )
52,52,52,52,52,52,52,52,52,52,Emily is making bead necklaces for her i friends. She had j beads and she was able to make k necklaces. How many beads did each necklace need?,( j / k )
53,53,53,53,53,53,53,53,53,53,Frank put i pieces of candy in each bag. If he had j pieces of candy How many bags would he have?,( j / i )
54,54,54,54,54,54,54,54,54,54,A waiter had i customers. After some left he still had j customers. Then he got k new customers How many customers does he have now?,( j + k )
55,55,55,55,55,55,55,55,55,55,A farmer had i tomatoes in his garden. If he picked j of them yesterday and k today. How many tomatoes did he pick in all?,( j + k )
56,56,56,56,56,56,56,56,56,56,"i red peaches, j yellow peaches and k green peaches are in the basket. How many green and yellow peaches are in the basket?",( k + j )
57,57,57,57,57,57,57,57,57,57,Winter is almost here and most animals are migrating to warmer countries. There were i bird families living near the mountain. If j bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,( j - ( i - j) )
58,58,58,58,58,58,58,58,58,58,There were i roses and j orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now k orchids and l roses in the vase. How many more orchids than roses are there in the vase now?,( k - l )
59,59,59,59,59,59,59,59,59,59,"After eating a hearty meal they went to see the Buckingham palace. There were i paintings in the Buckingham palace. There, Rachel learned that j visitors came to the Buckingham palace that day. If there were k visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",( j - k )
60,60,60,60,60,60,60,60,60,60,A waiter had i customers. While j customers left he got k new customers. How many customers does he still have?,( ( i - j ) + k )
61,61,61,61,61,61,61,61,61,61,Emily is making bead necklaces for her i friends. She has j beads and each necklace takes k beads. How many necklaces can Emily make?,( j / k )
62,62,62,62,62,62,62,62,62,62,He also had i aquariums for saltwater animals. The aquarium had j saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?,( j / i )
