,ID,Type,Symbolic Problem,Symbolic Equation,Variables,Numbers,Prompt
0,chal-1,Subtraction,Each pack of dvds costs <1> dollars. If there is a discount of <2> dollars on each pack How much do you have to pay to buy each pack?,( <1> - <2> ),"['<1>', '<2>']","['76', '25']",Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack how much do you have to pay to buy each pack?
1,chal-2,Subtraction,Dan had $ <1> left with him after he bought a candy bar. If he had $ <2> at the start How much did the candy bar cost?,( <2> - <1> ),"['<1>', '<2>']","['3', '4']",Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start how much did the candy bar cost?
2,chal-3,Subtraction,Paco had <1> salty cookies and <2> sweet cookies. He ate <3> sweet cookies and <4> salty cookies. How many salty cookies did Paco have left?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['26', '17', '14', '9']",Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?
3,chal-4,Subtraction,<1> children were riding on the bus. At the bus stop some children got off the bus. Then there were <2> children left on the bus. How many children got off the bus at the bus stop?,( <1> - <2> ),"['<1>', '<2>']","['43', '21']",43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?
4,chal-5,Subtraction,<1> children were riding on the bus. At the bus stop <2> children got on the bus while some got off the bus. Then there were <3> children altogether on the bus. How many more children got on the bus than those that got off?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['28', '82', '30']",28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?
5,chal-6,Subtraction,There were <1> dollars in Olivia's wallet. She collected <2> more dollars from an atm. After she visited a supermarket there were <2> dollars left. How much more money did she collect at the atm than she spent at the supermarket?,( <2> - <1> ),"['<1>', '<2>', '<3>']","['3', '49', '49']",There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?
6,chal-7,Subtraction,Jerry had some action figures on a shelf in his room. Later he added <1> more action figures to the shelf. If there are a total of <2> action figures on his shelf now How many action figures did he have initially on the shelf?,( <2> - <1> ),"['<1>', '<2>']","['7', '10']",Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now how many action figures did he have initially on the shelf?
7,chal-8,Subtraction,Paco had <1> cookies. He gave <2> cookies to his friend and ate <3> cookies. How many more cookies did he eat than those he gave to his friend?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['41', '9', '18']",Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?
8,chal-9,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of sugar <2> cups of flour and <3> cups of salt. She already put in <4> cups of flour. How many more cups of flour does she need to add?,( <2> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['3', '10', '15', '6']",Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?
9,chal-10,Addition,A waiter had some customers. After <1> customers left he still had <2> customers. How many customers did he have at the start?,( <1> + <2> ),"['<1>', '<2>']","['9', '12']",A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?
