,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Question,Equation
0,0,0,0,0,0,0,0,0,0,Each pack of dvds costs p dollars. If there is a discount of q dollars on each pack How much do you have to pay to buy each pack?,( p - q )
1,1,1,1,1,1,1,1,1,1,Dan had $ p left with him after he bought a candy bar. If he had $ q at the start How much did the candy bar cost?,( q - p )
2,2,2,2,2,2,2,2,2,2,Paco had p salty cookies and q sweet cookies. He ate r sweet cookies and s salty cookies. How many salty cookies did Paco have left?,( p - s )
3,3,3,3,3,3,3,3,3,3,p children were riding on the bus. At the bus stop some children got off the bus. Then there were q children left on the bus. How many children got off the bus at the bus stop?,( p - q )
4,4,4,4,4,4,4,4,4,4,p children were riding on the bus. At the bus stop q children got on the bus while some got off the bus. Then there were r children altogether on the bus. How many more children got on the bus than those that got off?,( r - p )
5,5,5,5,5,5,5,5,5,5,There were p dollars in Olivia's wallet. She collected q more dollars from an atm. After she visited a supermarket there were q dollars left. How much more money did she collect at the atm than she spent at the supermarket?,( q - p )
6,6,6,6,6,6,6,6,6,6,Jerry had some action figures on a shelf in his room. Later he added p more action figures to the shelf. If there are a total of q action figures on his shelf now How many action figures did he have initially on the shelf?,( q - p )
7,7,7,7,7,7,7,7,7,7,Paco had p cookies. He gave q cookies to his friend and ate r cookies. How many more cookies did he eat than those he gave to his friend?,( r - q )
8,8,8,8,8,8,8,8,8,8,Mary is baking a cake. The recipe calls for p cups of sugar q cups of flour and r cups of salt. She already put in s cups of flour. How many more cups of flour does she need to add?,( q - s )
9,9,9,9,9,9,9,9,9,9,A waiter had some customers. After p customers left he still had q customers. How many customers did he have at the start?,( p + q )
10,10,10,10,10,10,10,10,10,10,p birds were sitting on the fence. q more storks and r more birds came to join them. How many more storks than birds are sitting on the fence?,( q - ( p + r ) )
11,11,11,11,11,11,11,11,11,11,They decided to hold the party in their backyard. If they have p sets of tables and each set has q chairs How many chairs do they have in the backyard?,( p * q )
12,12,12,12,12,12,12,12,12,12,In a school there are p more girls than boys. If there are q girls How many pupils are there in that school?,( ( q + q ) - p )
13,13,13,13,13,13,13,13,13,13,After resting they decided to go for a swim. The depth of the water is p times Dean's height. Dean is q feet taller than Ron. If Ron stands at r feet How deep was the water?,( ( q + r ) * p )
14,14,14,14,14,14,14,14,14,14,p birds were sitting on the fence. q more birds and r more storks came to join them. How many birds are sitting on the fence?,( p + q )
15,15,15,15,15,15,15,15,15,15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed p pounds. On the way back Marco ' dad lost q pounds of strawberries. Marco's strawberries now weighed r pounds. How much did his dad's strawberries weigh now?,( ( p - r ) - q )
16,16,16,16,16,16,16,16,16,16,In a school there are p girls and the rest are boys. If there are q more girls than boys How many boys are there in that school?,( p - q )
17,17,17,17,17,17,17,17,17,17,In a school there are p girls and q boys. r more girls and s more boys joined the school. How many girls are there in the school now?,( p + r )
18,18,18,18,18,18,18,18,18,18,Danny collects bottle caps and wrappers. He found p bottle caps and q wrappers at the park. Now he has r bottle caps and s wrappers in his collection. How many wrappers did danny have at first?,( s - q )
19,19,19,19,19,19,19,19,19,19,Paul got a box of p erasers and q crayons for his birthday. At the end of the school year he only had r crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,( r - p )
20,20,20,20,20,20,20,20,20,20,Baker made p cakes. He sold q of them and bought r new cakes. How many cakes does baker still have?,( ( p - q ) + r )
21,21,21,21,21,21,21,21,21,21,An industrial machine worked for p minutes. It can make q shirts a minute. How many shirts did machine make?,( q * p )
22,22,22,22,22,22,22,22,22,22,The bananas in Philip's collection are organized into groups of size p. If there are a total of p bananas in Philip's banana collection How many groups are there?,( q / p )
23,23,23,23,23,23,23,23,23,23,There were some birds sitting on the fence. p more birds came to join them. If there are a total of q birds on the fence now How many birds had been sitting on the fence at the start?,( q - p )
24,24,24,24,24,24,24,24,24,24,Jerry had p action figures on a shelf in his room. Later he added q more action figures to the shelf and removed some of the old ones. If there are r action figures on his shelf now How many action figures did he remove from the shelf?,( ( p + q ) - r )
